El Ouidan - Marrakech	40.00 Dhs	48H
Elaaroui -nador	45.00 Dhs	72H
Er-rich	40.00 Dhs	72H
Errachidia	40.00 Dhs	0H
Essaouira	45.00 Dhs	0H
Faryata-beni mellal	40.00 Dhs	48H
Fès - Hors Ville	35.00 Dhs	48H
Fès - Même Ville	20.00 Dhs	24H
Fkih ben saleh	40.00 Dhs	48H
Fnideq	40.00 Dhs	48H
Foum Jemaa - Azilal	40.00 Dhs	0H
Foum laanser-beni mellal	40.00 Dhs	48H
Foum Oudi - Beni Mellal	40.00 Dhs	72H
Foum Zaouia - Beni Mellal	40.00 Dhs	48H
Goulmima	40.00 Dhs	48H
Guelmim	50.00 Dhs	0H
Guercif	50.00 Dhs	48H
Guigo	50.00 Dhs	72H
Had Bouhsoussen - Khenifra	40.00 Dhs	48H
Had Hrara	50.00 Dhs	72H
Hattane - Khouribga	40.00 Dhs	48H
Hed soualem	35.00 Dhs	48H
Hwara	50.00 Dhs	0H
Idalsan	50.00 Dhs	48H
Ifrane - Azrou	45.00 Dhs	48H
Imidre	40.00 Dhs	72H
IMINTANOUT	40.00 Dhs	48H
Imouzzer kandar - Azrou	50.00 Dhs	72H
Imzouren -al hoceima	40.00 Dhs	48H
Inzegane - Agadir	45.00 Dhs	48H
Jemaat Shaim	45.00 Dhs	48H
Jerada	50.00 Dhs	0H
Jerf el malha-ouazzan	45.00 Dhs	48H
Jorf el melha-meknes	45.00 Dhs	72H
Kaa Assrasse - Tétouan	45.00 Dhs	48H
Kasba tadla-beni mellal	40.00 Dhs	48H
Kehf Nsour - Khenifra	40.00 Dhs	48H
Kelaa des sraghna - Marrakech	40.00 Dhs	48H
Kelaa magouna	40.00 Dhs	48H
Kenitra	35.00 Dhs	48H
Kesayba-beni mellal	40.00 Dhs	48H
Kharzouza - Azrou	45.00 Dhs	48H
Khemisset	45.00 Dhs	48H
Khenifra	35.00 Dhs	48H
Khmis Sahel - Larache	45.00 Dhs	48H
Khouribga	35.00 Dhs	48H
KSAR EL KBIR	45.00 Dhs	0H
Kser sghir - tanger	40.00 Dhs	48H
Laagreb - Marrakech	40.00 Dhs	48H
Laajana - Beni Mellal	40.00 Dhs	48H
Laayayta - Beni Mellal	40.00 Dhs	72H
Laayoune	45.00 Dhs	48H
Laayoune - Même Ville	20.00 Dhs	24H
Laayoune-port	45.00 Dhs	48H
Lagouassem	50.00 Dhs	72H
Lahri - Khenifra	40.00 Dhs	48H
Lalla Fatna	50.00 Dhs	72H
Lalla Takarkoust - Marrakech	40.00 Dhs	48H
Laqliaa	45.00 Dhs	72H
Larache	40.00 Dhs	48H
Lghrem Laalam - Beni Mellal	40.00 Dhs	48H
Lkhorba - Beni Mellal	40.00 Dhs	48H
Loudaya-marrakech	40.00 Dhs	48H
Louizia	35.00 Dhs	48H
Lounasda - Marrakech	40.00 Dhs	48H
Lqliaa-agadir	45.00 Dhs	48H
Madinat ERRAHMA	30.00 Dhs	24H
Marrakech	35.00 Dhs	48H
Martil	40.00 Dhs	48H
Mdiq	40.00 Dhs	48H
Mechra bel ksiri - meknes	50.00 Dhs	72H
Mediouna	35.00 Dhs	48H
Mejjat - Marrakech	40.00 Dhs	48H
Mejjat - meknes	45.00 Dhs	48H
Meknes - Hors Ville	35.00 Dhs	48H
Meknes - Même Ville	20.00 Dhs	24H
Merzouga	40.00 Dhs	72H
Mhaya-meknes	45.00 Dhs	48H
Midelt	50.00 Dhs	0H
Mirleft - Tiznit	50.00 Dhs	72H
Missour	45.00 Dhs	48H
Mohammedia	35.00 Dhs	48H
Moulay abdellah - el jadida	45.00 Dhs	48H
Moulay bouselham	45.00 Dhs	72H
Moulay Brahim - Marrakech	40.00 Dhs	48H
Moulay driss zerhoun-meknes	45.00 Dhs	48H
Moulay Yaâcoub - Fès	45.00 Dhs	48H
Mrirt	40.00 Dhs	48H
Mzouda - Marrakech	40.00 Dhs	48H
Mzoudia - Marrakech	40.00 Dhs	48H
Nador	40.00 Dhs	48H
Nimro Jemaa - Marrakech	40.00 Dhs	48H
Nouacer	35.00 Dhs	0H
Nzalat - Marrakech	40.00 Dhs	48H
Oualidia - El jadida	45.00 Dhs	48H
Ouaouizaght - Azilal	40.00 Dhs	48H
Ouaoumana - Khenifra	40.00 Dhs	48H
Ouarzazate	40.00 Dhs	72H
Ouazzane	40.00 Dhs	48H
Oued Cherrat	45.00 Dhs	48H
Oued jdida-meknes	45.00 Dhs	48H
Oued laou -Tétouan	45.00 Dhs	48H
Oued zem-khouribga	40.00 Dhs	48H
Oueld Frej - El Jadida	45.00 Dhs	48H
Oujda	40.00 Dhs	48H
Ouled aayad-beni mellal	40.00 Dhs	72H
Ouled Abdellah - Beni Mellal	40.00 Dhs	48H
Ouled aich-beni mellal	40.00 Dhs	48H
Ouled ali-beni mellal	40.00 Dhs	48H
Ouled Frej	45.00 Dhs	0H
Ouled Ghanem - El Jadida	45.00 Dhs	48H
Ouled mbarek-beni mellal	40.00 Dhs	72H
Ouled moussa-beni mellal	40.00 Dhs	72H
Ouled Mrah - Beni Mellal	40.00 Dhs	72H
Ouled Said Louad - Beni Mellal	40.00 Dhs	48H
Ouled saleh-bouskoura	35.00 Dhs	48H
Ouled Tayeb - Fès	45.00 Dhs	48H
Ouled teima - Agadir	45.00 Dhs	48H
Ouled Yahya - Marrakech	40.00 Dhs	48H
Ouled Youssef - Beni Mellal	40.00 Dhs	48H
Ouled Zidouh	45.00 Dhs	72H
Ouled Zmam - Beni Mellal	40.00 Dhs	72H
Ourika-marrakech	40.00 Dhs	48H
Outat Ej haj	40.00 Dhs	72H
Ouzoud - Azilal	40.00 Dhs	48H
Rabat	35.00 Dhs	48H
Ras El Ain - Marrakech	40.00 Dhs	48H
Ras lma - Azrou	45.00 Dhs	48H
Riad Salam - Beni Mellal	40.00 Dhs	48H
Ribate El Kheir - Fès	50.00 Dhs	72H
Rissani	40.00 Dhs	72H
Safi	40.00 Dhs	48H
Saidia	45.00 Dhs	48H
Sale	40.00 Dhs	48H
Sale el jadida	35.00 Dhs	48H
Sbaa ayoun-meknes	45.00 Dhs	48H
Sebt ben Sassi - Marrakech	40.00 Dhs	48H
Sebt el guerdan - Taroudant	40.00 Dhs	72H
Sefrou - Fès	45.00 Dhs	72H
Selouane-nador	45.00 Dhs	72H
Settat	40.00 Dhs	0H
Sidi Aaddi	40.00 Dhs	72H
Sidi Abdellah Ghiat - Marrakech	40.00 Dhs	48H
Sidi abed - El jadida	45.00 Dhs	48H
Sidi Addi - Azrou	45.00 Dhs	48H
Sidi Aissa Ben Ali - Beni Mellal	40.00 Dhs	48H
Sidi ali - meknes	45.00 Dhs	72H
Sidi allal el bahraoui - Kenitra	40.00 Dhs	48H
Sidi Bel Khair - Azrou	45.00 Dhs	48H
Sidi bennour	50.00 Dhs	0H
Sidi bibi - Agadir	45.00 Dhs	48H
Sidi Bnou Othmane - Marrakech	40.00 Dhs	48H
Sidi bouzid - El jadida	45.00 Dhs	48H
Sidi el mouktar - Marrakech	40.00 Dhs	48H
Sidi hajjaj-berrechid	40.00 Dhs	0H
Sidi Harazem - Fès	45.00 Dhs	48H
Sidi ifni	50.00 Dhs	72H
Sidi kacem - Kénitra	40.00 Dhs	72H
Sidi Laidi	45.00 Dhs	48H
Sidi Moussa - Marrakech	40.00 Dhs	48H
Sidi rahal	35.00 Dhs	48H
Sidi slimane - Kénitra	45.00 Dhs	72H
Sidi yahya el gharb - Kénitra	40.00 Dhs	72H
Sidi yahya zaair	45.00 Dhs	72H
Sidi Zouine - Marrakech	40.00 Dhs	48H
Skhirate	45.00 Dhs	0H
Skhour Rhamna - Marrakech	40.00 Dhs	48H
Skoura-ouarzazat	45.00 Dhs	48H
Smara	50.00 Dhs	72H
Souihla	45.00 Dhs	72H
Souihla - Marrakech	40.00 Dhs	48H
Souk El had	55.00 Dhs	0H
Souk El Had Bradla - Beni Mellal	40.00 Dhs	72H
Souk larb3a du Ghrab - Kénitra	50.00 Dhs	72H
Souk sebt ouled nemma-beni mellal	40.00 Dhs	48H
Stehat - Tétouan	45.00 Dhs	48H
Tabsbaste	40.00 Dhs	72H
Tachrafat - Khouribga	40.00 Dhs	48H
Taddart - Agadir	45.00 Dhs	48H
Tafraout	40.00 Dhs	72H
Tagadirt - Agadir	45.00 Dhs	48H
Taggourt Izem - Azrou	50.00 Dhs	72H
Taghazout - Agadir	40.00 Dhs	48H
Taghzirt-beni mellal	40.00 Dhs	48H
Tahala	50.00 Dhs	72H
Tahanaoute-marrakech	40.00 Dhs	48H
Talmssia-agadir	45.00 Dhs	48H
Tamallat	40.00 Dhs	48H
Tamansourt-Marrakech	40.00 Dhs	48H
Tamaris	35.00 Dhs	48H
Tamaslouht - Marrakech	40.00 Dhs	48H
Tamesna-rabat	40.00 Dhs	0H
Tamraght - Agadir	45.00 Dhs	48H
Tan tan	50.00 Dhs	48H
Tanant - Azilal	40.00 Dhs	48H
Tanger - Hors Ville	35.00 Dhs	48H
Tanger - Même Ville	20.00 Dhs	24H
Tanougha - Beni Mellal	40.00 Dhs	48H
TAOUNAT	45.00 Dhs	48H
Taourirt	50.00 Dhs	72H
Tarjist - Al hoceima	40.00 Dhs	48H
Taroudant	55.00 Dhs	48H
Tassaout - Marrakech	40.00 Dhs	48H
Tassoultant	45.00 Dhs	72H
Tata	50.00 Dhs	72H
Taza	45.00 Dhs	48H
Tazarine - zagora	45.00 Dhs	72H
Taznakht - ouarzazat	45.00 Dhs	72H
Temara	40.00 Dhs	48H
Temsia - Agadir	45.00 Dhs	48H
Tetouan - Hors Ville	35.00 Dhs	48H
Tétouan - Même Ville	20.00 Dhs	24H
Tifelt	45.00 Dhs	72H
Tighassaline - Khenifra	40.00 Dhs	48H
Tikiouine - Agadir	45.00 Dhs	48H
Timahdite - Azrou	45.00 Dhs	48H
Timatraouine - errachidia	40.00 Dhs	72H
Timoulilt - Beni Mellal	40.00 Dhs	48H
Tinghir	50.00 Dhs	72H
Tinjdad-errachidia	40.00 Dhs	48H
Tinzouline -zagora	45.00 Dhs	72H
Tit mellil	35.00 Dhs	48H
Tiznit	50.00 Dhs	0H
Tlat Bougadra	45.00 Dhs	72H
Tlat loulad Fini - Khouribga	40.00 Dhs	48H
Tnin Chtouka	50.00 Dhs	0H
Tnin Chtouka - El Jadida	45.00 Dhs	48H
Wanana-ouazzan	45.00 Dhs	48H
Youssoufia	40.00 Dhs	48H
Zagora	40.00 Dhs	72H
Zaio	45.00 Dhs	48H
Zawya cheikh-beni mellal	40.00 Dhs	48H
Zayda	40.00 Dhs	72H
Zemamra	45.00 Dhs	72H
Zenata	35.00 Dhs	24H
Zghanghan-nador	45.00 Dhs	72H
Zomi-ouazzan	45.00 Dhs	72H
Zone Industrielle - Beni Mellal	40.00 Dhs	72H
Zouair - Beni Mellal	40.00 Dhs	48H
